,author,year,title,climate_damage_ratio,climate_conflict_ratio,climate_threat_ratio,adaptation_conflict_ratio,mitigation_damage_ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
150,guohui gan,2013,Dynami.txt,0.682373473,1,-0.736842105,0.225806452,-0.407407407,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
151,rossi,2012,Ethanol.txt,0.727272727,0.6,0.955882353,0.75,0.25,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
152,liao and wang,2012,Performance based lo.txt,0.295081967,0.917808219,0.819277108,0,0.259259259,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
153,fang etal,2012,Characterization.txt,0.7,0.952,0.960526316,0.857142857,0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
154,Sun,2020,water shed water pollution.txt,0.557251908,0.977777778,0.865079365,0.333333333,0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
155,Michel Gueldry,2018,Climate.txt,-0.132075472,0.995209581,0.835616438,0.090909091,-0.393939394,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
156,fhazali etal,2017,Feasibility.txt,-0.146341463,0.904761905,0.895652174,0,-0.263157895,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
157,altan etal,2019,An experimental study roof.txt,0.5390625,0.9375,0.746478873,0.8,0.518518519,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
158,Santana,2020,wind glazing.txt,0.394957983,1,0.913043478,0.4,0.230769231,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
159,sun,2014,Existing.txt,0.6,0.76,0.821782178,0.733333333,0.294117647,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
160,ebhota,2018,The place.txt,-0.178571429,0.957446809,0.860465116,1,0.166666667,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
161,Prabhakant etal,2009,evaluation.txt,-0.1,,0.983870968,1,0.384615385,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
162,alamier,2020, Synthesi.txt,0.148148148,-0.609756098,0.80952381,-1,-0.466666667,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
163,cuce and cuce,2013,Optimization.txt,0.585798817,0.99103139,-0.142857143,0.739130435,0.035714286,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
164,feng etal,2010,steady,0.710144928,0.913043478,0.972413793,-1,-0.772727273,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
165,Amanda,2016,Water Sensitive Planning Practices.txt,0.375921376,-0.454545455,0.983050847,-1,-0.538461538,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
166,avgerinos,2016,Effect.txt,0.605095541,0.96031746,0.86407767,-0.2,0.263157895,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
167,mempouo,2010,Cod.txt,0.441860465,0.942857143,0.674418605,0.058823529,0.151515152,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
168,rezaei,2018,Applying.txt,0.611111111,0.948051948,0.466666667,-0.666666667,-0.777777778,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
169,zhaoetal,2009,Dynamic performance.txt,0.966292135,0.968586387,0.953216374,0.454545455,0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
170,wangetal,2020,Sound.txt,-0.452054795,1,0.830508475,0.714285714,0.163636364,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
171,ahmadi,2016,Applying.txt,0.064935065,0.984962406,-0.833333333,0.666666667,-0.029411765,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
172,wang etal,2020,Study on.txt,0.873754153,0.944186047,0.905660377,1,0.379310345,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
173,abo,2012,Microaerobic.txt,-0.714285714,0.956521739,0.976275208,0.555555556,-0.185185185,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
174,Abu,2009,compression.txt,0.82745098,0.971014493,0.835294118,0.818181818,0.4,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
175,niu etal,2010,Experimental study on a CO2.txt,0.76744186,0.891891892,0.411764706,0.909090909,0.578947368,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
176,li etal,2016,Performance.txt,0.821428571,0.333333333,0.956112853,1,0.125,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
177,shatat,2015,retrofitting.txt,0.106382979,0.857142857,0.881773399,0.846153846,0.19047619,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
178,vadodaria,2012,Inuseenergy.txt,0.234042553,0.826086957,0.451821862,-0.026852846,-0.180811808,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
179,soares etal,2018,Evaluation.txt,0.510638298,0.939393939,0.911111111,0,0.235294118,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
180,filippeschi etal,2012,Feasibility.txt,0.801980198,0.875,0.75,0.777777778,-0.137254902,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
181,Lingen,2013,cycle.txt,0.612903226,0.6,0.855670103,0.764705882,0.333333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
182,zhai,2016,Sensitivity.txt,0.171428571,0.925465839,0.571428571,0.142857143,-0.733333333,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
183,du,2011,electroca.txt,-0.333333333,1,0,0,0.03030303,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
184,Shilliday etal,2009,Comparative energy.txt,0.445026178,1,0.842424242,0.25,-0.155555556,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
185,wei,2014,CatalyticCO2.txt,0.651006711,1,0.912195122,0.189189189,0.263157895,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
186,mehrabian,2010,wet heat exchangers.txt,0.847025496,1,0.702970297,-0.5,-0.041666667,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
187,Santamouris,2008,built environment.txt,0.561497326,0.6,0.47826087,0.2,-0.72,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
188,ong,2016,Performance.txt,0.744966443,0.931034483,0.813953488,-0.4,-0.789473684,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
189,wang etal,2010,pyrolysis process of corn straw.txt,0.578947368,0.986348123,-0.782945736,0.125,-0.88034188,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
190,alsallal,2018,Daylighting performan.txt,-0.15625,0.784615385,0.956616052,0.5,-0.421052632,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
191,lin etal,2018,Experimental study on im.txt,-0.161290323,0.914893617,0.7,0.684210526,0.2,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
192,soares etal,2018,Evaluation of the performance.txt,0.510638298,0.607843137,0.388888889,1,0.373134328,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
193,jiang etal,2012,Current development o.txt,-0.285714286,0.87755102,0.448275862,0.75,0.4375,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
194,eboka etal,2018,Detailed.txt,,0.473684211,0.832402235,0,-0.19047619,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
195,Ashouri etal,2015,organic rankine cycle.txt,0.417989418,1,0.910034602,0.707317073,0.074074074,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
196,chung and ju,2010,A hybrid design of VAWT.txt,0.2,0.7,0.84063745,0.25,-0.181818182,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
197,Ciampi etal,2013,energy performance.txt,0.727272727,0.6,0.72972973,0,-0.3,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
198,kumar etal,2020,The role of nanot.txt,0.061728395,0.898305085,0.859459459,0.666666667,0.096774194,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
199,cruikshank,2011,economic.txt,0.049180328,1,0.784615385,0.882352941,0.484848485,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
200,liu etal,2010,domestic biomas.txt,0.797752809,0.875486381,0.75,0.444444444,-0.551724138,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
201,li and dai,2019,Energy.txt,0.113924051,0.913043478,0,0.818181818,0,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
202,durakovic and torlak,2016,Experimental.txt,0.709459459,0.890410959,0.734439834,0.625,-0.068181818,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
203,chen,2018,Study on energy.txt,0.773333333,0.986013986,0.320754717,0.885714286,0.402298851,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
204,hsieh and cheng,2020,Effects o.txt,0.377483444,0.918918919,0.245283019,0.594202899,0.65,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
205,markus,2013,Advanced.txt,0.770114943,0.934883721,0.764705882,0.833333333,0.333333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
206,baral,2020,Thermodynamic and financial.txt,0.789473684,0.833333333,0.908396947,-0.5,0.620689655,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
207,afrasiabian,2019,analysis.txt,0.653429603,0.445783133,-0.254901961,0.555555556,0.134328358,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
208,wangetal,2012,Superhydrophobic.txt,0.436781609,0.914285714,0.913043478,0.4,-0.555555556,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
209,Zhuetal,2020,aerolastic.txt,-0.374233129,0.939393939,0.903614458,0.625,0.2,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
210,ahmed,2018,Design methodology.txt,0.739776952,0.404255319,0.846153846,-0.692307692,-0.355932203,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
211,wangetal,2013,Failure.txt,0.684615385,0.867346939,0.636363636,1,-0.538461538,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
212,lau etal,2012,A preliminary study o.txt,0.465346535,0.92,-0.473684211,-1,-0.481481481,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
213,eloka and onunka,2020,Sustainable.txt,-0.910714286,0.980392157,0.968911917,0,0.244444444,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
214,gago etal,2010,irradiation and temperatur.txt,0.898148148,0.384615385,0.47826087,0.333333333,0.08,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
215,Zheng,2018,solar.txt,0.816513761,0.949541284,0.384615385,0.538461538,-0.290322581,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
216,chen etal,2012,Constructal.txt,0.850746269,0.866666667,0.466666667,0.875,-0.538461538,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
217,zhangetal,2020,Capacity.txt,0.104477612,0.902912621,0.952,0.25,-0.037037037,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
218,oralli,2011,study.txt,0.514285714,0.984126984,0.866666667,0.666666667,-0.2,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
219,omar and shaari,2009,Sizing verification.txt,-0.043478261,1,0.333333333,0.6,0.166666667,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
220,Ibrahim etal,2009,analysis of sola.txt,0.666666667,0.954545455,0.83982684,0.511111111,-0.042553191,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
221,walnum,2011,Offdesign.txt,0.761006289,0.921568627,0.72972973,1,-0.24137931,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
222,bardineh etal,2018,Medical.txt,0.701492537,0.976744186,0.766233766,1,0.517241379,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
223,Vivekh etal,2015,Desalination.txt,0.247058824,1,0,0.052631579,-0.224489796,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
224,Mojtaba,2018,natural.txt,-0.078651685,0.982142857,0.963302752,-0.285714286,-0.058823529,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
225,Sultan etal,2020,vfa.txt,-0.6,0.971830986,1,0.75,-0.85,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
226,zhu,2012,Asimulation.txt,0.782178218,0.917948718,-0.172413793,0.744680851,0.620253165,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
227,li etal,2019,Effect of design.txt,0.797235023,0.93258427,0.657894737,1,0.170731707,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
228,hemmingway and long,2012,Thermal re.txt,0.712418301,-0.285714286,0.857142857,0.86440678,0.192307692,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
229,steve,2011,Hydrogen.txt,-0.2,-0.428571429,0.969230769,0.833333333,0.058823529,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
230,molero,2013,Towards.txt,-0.666666667,0.924528302,0.927927928,0.6,-0.733333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
231,Andrea and Francis,2020,tropical climate.txt,0.863874346,0.990825688,0.673469388,0.2,0.3,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
232,Riffat etal,2007,direct ground coupled absorber.txt,0.392857143,0.636363636,0.90625,1,-0.428571429,31493.742,2.98,910.212,4.696,1244213.89,12811.338,1.91,601452.662
233,sahlot and riffat,2016,Desiccant cooling systems.txt,0.744779582,0.99245283,0.776397516,0.545454545,0.194805195,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
234,orhan etal,2011,Exergy analysis of heat exchangers.txt,0.807560137,0.987341772,1,,,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
235,salman,2020,Thermal.txt,-0.650793651,0.980582524,1,,,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
236,ding,2019,Comparison.txt,0.755102041,0.925925926,0.934560327,0.379310345,0.168831169,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
237,hyde,2016,Development.txt,-0.2,0.978723404,0.906752412,0.259259259,0.044776119,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
238,ding and riffat,2012,Thermochemical energy storage technologies for building applications.txt,0.736842105,0.8,0.428571429,0.5,0.5,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
239,Jorge and Armando C. Oliveira,2006,solar.txt,0.833333333,0.849056604,0.84,-1,-0.25,30583.53,3.31,980.753,4.617,1212720.149,12222.242,1.845,588641.324
240,zhangetal,2013,Theoretical.txt,0.825242718,0.971014493,0.632911392,0.894736842,-0.252747253,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
241,aleknaviciute,2012,Plasma assis.txt,-0.041666667,0.858585859,0.935483871,1,0.529411765,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
242,xia,2016,Endoreversible.txt,0.222222222,1,0.905660377,0,0.076923077,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
243,Barnwal etal,2008,thermal greenhouse dryer.txt,0.613445378,0.981395349,0.948387097,1,0.5,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
244,meng etal,2010,Effects.txt,0.709677419,1,0.916666667,1,-0.3125,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
245,burhan etal,2018,Energy distribution.txt,0.266666667,0.957446809,0.176470588,0.259259259,0.432835821,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
246,lee etal,2020,Experimental.txt,0.906040268,1,0.86407767,1,0.652173913,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
247,whiffen,2012,review.txt,0.654320988,0.619047619,0,1,1,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
248,li and shuan,2020,Research on freq.txt,-0.463414634,1,1,0.692307692,0.076923077,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
249,pillai,2013,Study.txt,0.541666667,0.99376947,0.903225806,,-0.333333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
250,rabah etal,2013,Experimental study of the urban.txt,0.577981651,0.994011976,0.866666667,-0.5,-0.285714286,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
251,indartono etal,2016,Improving photovoltaics.txt,0.726315789,0.759036145,0.857142857,-1,0.032258065,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
252,Hessami,2008,rural residential building.txt,0.81420765,1,1,-0.333333333,0.703703704,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
253,elbaiuomy,2017,The impact.txt,-0.452054795,1,0.972899729,0.875,-0.2,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
254,alkhalidi etal,2020,Using Wood.txt,0.394871795,0.75862069,0.855263158,0.574468085,0.25,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
255,wang etal,2010,intercooled.txt,0.627586207,0.684210526,0.842424242,0.333333333,0.346153846,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
256,wang,2014,Performanc.txt,0.807829181,0.85,0.84,0,0.307692308,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
257,alkhalidi etal,2019,Energy efficient cooling.txt,0.725,0.751937984,0.860465116,1,0.666666667,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
258,qiu,2012,Experimental.txt,0.941018767,0.652173913,0.988372093,-0.866666667,-0.875,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
259,kasaeian etal,2017,Investigation of the eff.txt,0.406360424,0.666666667,0.915492958,-1,-0.5,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
260,ahmadi,2016,Thermodynamic anal.txt,0.721518987,0.954716981,-0.09352518,0.523809524,-0.365079365,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
261,baral,2020,Mathematical.txt,0.643410853,0.482352941,0.217391304,0.888888889,0.184210526,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
262,bert,2011,fuel cells.txt,-0.333333333,1,0.678899083,-0.04,-0.62962963,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
263,yang,2012,heat.txt,0.813953488,0.992753623,0.928571429,-1,-0.5,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
264,zhang etal,2012,sordption.txt,0.777777778,0.93258427,0.666666667,0,-0.297297297,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
265,wangetal,2019,Fault.txt,0.03030303,0.882352941,0.752212389,0.6,-0.5,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
266,ong,2016,Review.txt,0.884057971,0.958762887,0.921568627,0.857142857,-0.25,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
267,joshi etal,2010,Analysis of energy and exergy.txt,0.711711712,-1,0.808823529,-0.666666667,-0.35,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
268,serran,2016,Rammed.txt,0.72,1,0.230769231,0.4,-0.024691358,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
269,riffat and qiu,2011,A review.txt,0.276595745,0.882352941,0.738461538,0.5,-0.0625,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
270,Vasiliev etal,2009,efficiency of fuel cells.txt,0.744855967,0.810810811,0.846153846,1,0.333333333,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
271,lazzarin etal,2018,Hybrid PCM aluminium foa.txt,0.782312925,1,0,0.3125,0.295336788,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
272,chen etal,2009,Research on ground coupled heat.txt,0.671232877,0.5,0.986206897,0.5,0.043478261,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
273,Tangka etal,2013,asorption solar.txt,0.721854305,0.789473684,0.166666667,0.294117647,0.266666667,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
274,Shanmugapriya etal,2018,solar linear fresnel.txt,0.411764706,0.850746269,0.666666667,-0.8,-1,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
275,you,2020,Influences.txt,0.790575916,0.975460123,0.925925926,-0.25,-0.320754717,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
276,ling etal,2013,The numerical s.txt,0.656108597,0.949685535,0.862745098,0.2,0.4,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
277,lin etal,2011,Ammonia water absorption cycle.txt,0.712707182,0.961165049,0,1,0.755102041,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
278,Zhang etal,2015,heat transfer of energy.txt,0.835390947,0.903225806,-0.076923077,0.571428571,0.125,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
279,jarimi etal,2018,Materials characterizatio.txt,1,0.914634146,0.688311688,0,0.180327869,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
280,Arif etal,2012,exergy analysis.txt,0.527272727,0.858823529,0.567567568,0.142857143,0.111111111,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
281,mahmood etal,2019,Energy.txt,0.837696335,0.945355191,0.773584906,0.333333333,0.294117647,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
282,Lazzarin etal,2008,electronic expansion valves.txt,0.68,0.995049505,0.851851852,-0.379310345,0.034482759,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
283,jorge,2009,water absorption.txt,0.763033175,0.933333333,0.58974359,0.677419355,0.473684211,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
284,dakwale and ralegaonkar,2011,Review of carbon emission through buildings.txt,0.155172414,0.625,0.333333333,0.647058824,-0.020408163,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
285,sicre,2015,Highefficiency.txt,0.748502994,1,0.882352941,0.5,-0.259259259,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
286,anestopoulou etal,2016,On the development.txt,0.319148936,0.895833333,0.826086957,0.636363636,0.8,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
287,kumar and reddy,2012,energy exe.txt,0.188679245,1,0.707692308,0.428571429,-0.428571429,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
288,Kan and Hu,2015,composite building.txt,0.744680851,0.833333333,0.78807947,0.384615385,-0.318181818,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
289,Comarazamy etal,2013,impacts of urb.txt,0.420118343,0.961904762,0.795121951,0.151515152,0.2,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
290,tolooiyan,2012,preliminary.txt,0.617128463,1,0.956043956,-0.142857143,0.066666667,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
291,kan etal,2009,Ecological.txt,0.833333333,1,0.921568627,0.75,-0.2,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
292,feng etal,2013,Constructal.txt,0.671641791,0.94095941,0.893939394,0.5,0.090909091,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
293,Jiang etal,2009,utilizing bent heat pipes.txt,0.829268293,0.918918919,0.895348837,0,-0.866666667,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
294,rahbar,2016,miniature.txt,-0.164556962,0.959459459,0.962025316,0.111111111,-0.176470588,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
295,oyieke,2020,Experimental.txt,0.72038835,0.888198758,0.811023622,0.222222222,0.136363636,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
296,li and liang,2018,The economi.txt,-0.4,0.333333333,0.806451613,0.8,0.351351351,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
297,chen etal,2012,Optimal expansion.txt,0.717277487,0.666666667,0.928571429,0.714285714,0.133333333,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
298,d'alessandro etal,2016,Innovative concretes for low carbon constructions.txt,-0.06626506,0.949308756,0.945945946,0.666666667,0.571428571,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
299,wang etal,2020,equalization.txt,-1,0.914893617,0.916167665,1,0.25,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
300,reinoso,2012,Study.txt,-0.245901639,0.893939394,0.466666667,1,0.777777778,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
301,gan,2015,Impacts of dynam.txt,0.869797225,0.333333333,0,0.941176471,0.634146341,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
302,Aprea etal,2012,exergy an.txt,0.333333333,0.84,-0.4,0.785714286,0.03030303,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
303,afonso,2013,Tracer gas.txt,0.648,0.076923077,0.972222222,0.555555556,-0.076923077,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
