,author,year,title,climate-damage,weather-damage,climate-change,weather-change,mitigation-damage,climate-threat,adaptation-threat,adaptation-conflict,vader_zscore,big-small-ratio,climate-conflict,bio-loss
148,xiang,2015,Optimization.txt,0.823529412,-1,-0.4,-1,-0.303030303,-0.52,1,0.631578947,0.005258451,-0.142857143,0.918367347,0.111111111
149,tao etal,2009,congregation.txt,0.25,-1,-0.538461538,-1,0.378378378,0.968660969,0.636363636,0.890909091,0.160243543,-0.8,0,0.805309735
150,guohui gan,2013,Dynami.txt,0.682373473,1,-1,-0.5,-0.407407407,-0.736842105,0.6,0.225806452,-1.502889759,-1,1,-0.925925926
151,rossi,2012,Ethanol.txt,0.727272727,1,-0.2,-0.764705882,0.25,0.955882353,0.5,0.75,-0.949868764,-0.333333333,0.6,0.611111111
152,liao and wang,2012,Performance based lo.txt,0.295081967,-1,,,0.259259259,0.819277108,0.882352941,0,-1.127378786,-0.2,0.917808219,-0.527272727
153,fang etal,2012,Characterization.txt,0.7,-1,0.571428571,-1,0,0.960526316,0.8,0.857142857,-0.194438557,-1,0.952,0.058823529
154,Sun,2020,water shed water pollution.txt,0.557251908,-1,-0.142857143,-1,0,0.865079365,1,0.333333333,-0.219026443,-0.75,0.977777778,0.020408163
155,Michel Gueldry,2018,Climate.txt,-0.132075472,-1,-0.090909091,-1,-0.393939394,0.835616438,0.692307692,0.090909091,-0.107915738,-1,0.995209581,-0.666666667
156,fhazali etal,2017,Feasibility.txt,-0.146341463,-1,0.473684211,-1,-0.263157895,0.895652174,1,0,-0.356922807,-0.818181818,0.904761905,-0.857142857
157,altan etal,2019,An experimental study roof.txt,0.5390625,,0.304347826,-1,0.518518519,0.746478873,1,0.8,-0.755183781,0.5,0.9375,-0.024390244
158,Santana,2020,wind glazing.txt,0.394957983,-1,-0.75,-1,0.230769231,0.913043478,-0.5,0.4,-0.610528897,-1,1,-0.393939394
159,sun,2014,Existing.txt,0.6,-1,-1,-1,0.294117647,0.821782178,,0.733333333,0.775568508,-0.333333333,0.76,-0.818181818
160,ebhota,2018,The place.txt,-0.178571429,,-0.833333333,-1,0.166666667,0.860465116,0,1,0.131857532,,0.957446809,0.058823529
161,Prabhakant etal,2009,evaluation.txt,-0.1,,0.25,-1,0.384615385,0.983870968,1,1,-0.686362114,-1,,0.428571429
162,alamier,2020, Synthesi.txt,0.148148148,-0.692307692,0,0,-0.466666667,0.80952381,0.6,-1,-0.837864649,-1,-0.609756098,-1
163,cuce and cuce,2013,Optimization.txt,0.585798817,,-0.6,-1,0.035714286,-0.142857143,1,0.739130435,1.64525453,-0.142857143,0.99103139,-0.818181818
164,feng etal,2010,steady,0.710144928,-0.5,-0.529411765,-0.857142857,-0.772727273,0.972413793,0.76,-1,-0.230319404,-0.714285714,0.913043478,-1
165,Amanda,2016,Water Sensitive Planning Practices.txt,0.375921376,-1,1,,-0.538461538,0.983050847,1,-1,0.047239133,-0.333333333,-0.454545455,-1
166,avgerinos,2016,Effect.txt,0.605095541,-1,0.6,-1,0.263157895,0.86407767,,-0.2,-0.502834029,-1,0.96031746,-0.853658537
167,mempouo,2010,Cod.txt,0.441860465,0,0.120879121,-0.904761905,0.151515152,0.674418605,0.655172414,0.058823529,1.817799169,-0.714285714,0.942857143,-0.666666667
168,rezaei,2018,Applying.txt,0.611111111,-1,-1,-1,-0.777777778,0.466666667,1,-0.666666667,-0.854266155,0.4,0.948051948,-1
169,zhaoetal,2009,Dynamic performance.txt,0.966292135,,1,,0,0.953216374,1,0.454545455,-0.209867701,-0.777777778,0.968586387,-0.4
170,wangetal,2020,Sound.txt,-0.452054795,-1,-1,-1,0.163636364,0.830508475,1,0.714285714,-0.287181421,-1,1,-0.882352941
171,ahmadi,2016,Applying.txt,0.064935065,,-0.6,-1,-0.029411765,-0.833333333,,0.666666667,-1.185586994,-1,0.984962406,-1
172,wang etal,2020,Study on.txt,0.873754153,1,0.714285714,0.666666667,0.379310345,0.905660377,0.75,1,-1.403091067,-1,0.944186047,-0.6
173,abo,2012,Microaerobic.txt,-0.714285714,-1,-0.5,-1,-0.185185185,0.976275208,-0.333333333,0.555555556,-0.940578024,-0.913043478,0.956521739,-0.850746269
174,Abu,2009,compression.txt,0.82745098,-1,1,,0.4,0.835294118,1,0.818181818,0.692395778,,0.971014493,0.135135135
175,niu etal,2010,Experimental study on a CO2.txt,0.76744186,-1,0.2,-1,0.578947368,0.411764706,1,0.909090909,-0.674964167,-0.866666667,0.891891892,-1
176,li etal,2016,Performance.txt,0.821428571,-0.882352941,0,0,0.125,0.956112853,-0.238095238,1,-0.606600559,-1,0.333333333,0.176470588
177,shatat,2015,retrofitting.txt,0.106382979,,-1,-1,0.19047619,0.881773399,1,0.846153846,-0.636076957,-0.5,0.857142857,0.714285714
178,vadodaria,2012,Inuseenergy.txt,0.234042553,,0.076923077,-1,-0.180811808,0.451821862,1,-0.026852846,-1.385071908,-0.602564103,0.826086957,-0.521052632
179,soares etal,2018,Evaluation.txt,0.510638298,,1,,0.235294118,0.911111111,1,0,-0.758564281,-0.875,0.939393939,-0.222222222
180,filippeschi etal,2012,Feasibility.txt,0.801980198,1,0.433333333,-0.888888889,-0.137254902,0.75,1,0.777777778,0.834810497,-0.333333333,0.875,-0.857142857
181,Lingen,2013,cycle.txt,0.612903226,1,-0.6,-0.333333333,0.333333333,0.855670103,1,0.764705882,0.50726557,-0.411764706,0.6,-0.130434783
182,zhai,2016,Sensitivity.txt,0.171428571,0.5,0.505617978,-0.76,-0.733333333,0.571428571,1,0.142857143,0.946790418,-0.9,0.925465839,-1
183,du,2011,electroca.txt,-0.333333333,,-1,-1,0.03030303,0,1,0,-0.29373169,0.333333333,1,-0.866666667
184,Shilliday etal,2009,Comparative energy.txt,0.445026178,-0.525,0.473087819,-0.660714286,-0.155555556,0.842424242,0.739837398,0.25,0.324978335,-1,1,0.212121212
185,wei,2014,CatalyticCO2.txt,0.651006711,0.84,-0.333333333,0.84,0.263157895,0.912195122,1,0.189189189,0.305058542,-0.625,1,0.459459459
186,mehrabian,2010,wet heat exchangers.txt,0.847025496,0.176470588,0.714285714,0.538461538,-0.041666667,0.702970297,1,-0.5,-0.602443412,-1,1,-0.904761905
187,Santamouris,2008,built environment.txt,0.561497326,1,-0.076923077,-0.555555556,-0.72,0.47826087,1,0.2,-1.949542689,-0.857142857,0.6,-0.180327869
188,ong,2016,Performance.txt,0.744966443,,1,,-0.789473684,0.813953488,,-0.4,-0.742713746,-1,0.931034483,-0.238095238
189,wang etal,2010,pyrolysis process of corn straw.txt,0.578947368,1,1,1,-0.88034188,-0.782945736,1,0.125,-0.591219347,-1,0.986348123,-1
190,alsallal,2018,Daylighting performan.txt,-0.15625,,-1,-1,-0.421052632,0.956616052,1,0.5,-0.922254553,-1,0.784615385,-0.52173913
191,lin etal,2018,Experimental study on im.txt,-0.161290323,1,-0.333333333,-0.333333333,0.2,0.7,,0.684210526,0.818256117,-0.714285714,0.914893617,-0.25
192,soares etal,2018,Evaluation of the performance.txt,0.510638298,-1,-0.179487179,-1,0.373134328,0.388888889,0.6,1,0.985632701,-1,0.607843137,-0.363636364
193,jiang etal,2012,Current development o.txt,-0.285714286,-1,0.538461538,-1,0.4375,0.448275862,1,0.75,1.958446609,,0.87755102,-1
194,eboka etal,2018,Detailed.txt,,-1,-0.047619048,-1,-0.19047619,0.832402235,-1,0,-0.561022848,-0.818181818,0.473684211,-0.586206897
195,Ashouri etal,2015,organic rankine cycle.txt,0.417989418,-1,0.5,-1,0.074074074,0.910034602,-0.333333333,0.707317073,-0.358026761,-0.5,1,0.020408163
196,chung and ju,2010,A hybrid design of VAWT.txt,0.2,,0.555555556,-1,-0.181818182,0.84063745,1,0.25,-1.0204817,-1,0.7,-0.692307692
197,Ciampi etal,2013,energy performance.txt,0.727272727,-1,-0.111111111,-1,-0.3,0.72972973,0.333333333,0,0.343718014,-0.428571429,0.6,-0.833333333
198,kumar etal,2020,The role of nanot.txt,0.061728395,,0,-1,0.096774194,0.859459459,1,0.666666667,0.097946627,-1,0.898305085,-0.066666667
199,cruikshank,2011,economic.txt,0.049180328,,0.2,-1,0.484848485,0.784615385,,0.882352941,0.434645585,-1,1,0.2
200,liu etal,2010,domestic biomas.txt,0.797752809,-1,0.76119403,-1,-0.551724138,0.75,0.906976744,0.444444444,0.456522641,-1,0.875486381,-1
201,li and dai,2019,Energy.txt,0.113924051,-1,1,,0,0,-0.2,0.818181818,0.185309087,-0.636363636,0.913043478,-0.176470588
202,durakovic and torlak,2016,Experimental.txt,0.709459459,-1,-1,-1,-0.068181818,0.734439834,-1,0.625,0.237890838,-1,0.890410959,-0.866666667
203,chen,2018,Study on energy.txt,0.773333333,0.428571429,-0.2,0.538461538,0.402298851,0.320754717,1,0.885714286,1.197529947,-0.285714286,0.986013986,0.118644068
204,hsieh and cheng,2020,Effects o.txt,0.377483444,1,0.857142857,0.875,0.65,0.245283019,1,0.594202899,0.134273292,-0.411764706,0.918918919,-0.272727273
205,markus,2013,Advanced.txt,0.770114943,,,,0.333333333,0.764705882,1,0.833333333,1.500120039,-0.4,0.934883721,
206,baral,2020,Thermodynamic and financial.txt,0.789473684,-1,1,,0.620689655,0.908396947,0.333333333,-0.5,-0.485356254,-0.44,0.833333333,-0.793103448
207,afrasiabian,2019,analysis.txt,0.653429603,0,-0.142857143,-0.333333333,0.134328358,-0.254901961,0,0.555555556,-1.229715119,-1,0.445783133,-0.785714286
208,wangetal,2012,Superhydrophobic.txt,0.436781609,-0.777777778,0.333333333,-0.714285714,-0.555555556,0.913043478,-0.333333333,0.4,-0.733855781,-0.2,0.914285714,0.185185185
209,Zhuetal,2020,aerolastic.txt,-0.374233129,1,0.617021277,0,0.2,0.903614458,1,0.625,-0.535896071,-0.7,0.939393939,0.675675676
210,ahmed,2018,Design methodology.txt,0.739776952,-1,0,-1,-0.355932203,0.846153846,1,-0.692307692,-0.019055822,0.111111111,0.404255319,-1
211,wangetal,2013,Failure.txt,0.684615385,-1,-0.333333333,-1,-0.538461538,0.636363636,-1,1,-0.676970947,,0.867346939,-0.666666667
212,lau etal,2012,A preliminary study o.txt,0.465346535,-1,-0.733333333,-1,-0.481481481,-0.473684211,0.2,-1,-0.928850619,-0.333333333,0.92,-1
213,eloka and onunka,2020,Sustainable.txt,-0.910714286,1,0.933333333,0.333333333,0.244444444,0.968911917,0.894736842,0,0.975278562,-0.783783784,0.980392157,-0.066666667
214,gago etal,2010,irradiation and temperatur.txt,0.898148148,-0.333333333,0.166666667,-0.666666667,0.08,0.47826087,0.684210526,0.333333333,0.348585116,-1,0.384615385,-0.538461538
215,Zheng,2018,solar.txt,0.816513761,,-1,-1,-0.290322581,0.384615385,1,0.538461538,0.197503767,-0.666666667,0.949541284,-0.333333333
216,chen etal,2012,Constructal.txt,0.850746269,0.333333333,-0.066666667,-0.777777778,-0.538461538,0.466666667,1,0.875,0.456182121,-0.5,0.866666667,-0.058823529
217,zhangetal,2020,Capacity.txt,0.104477612,0.333333333,0.333333333,0,-0.037037037,0.952,1,0.25,0.142231663,-1,0.902912621,-0.8
218,oralli,2011,study.txt,0.514285714,,-0.5,-1,-0.2,0.866666667,1,0.666666667,0.97289963,-1,0.984126984,-0.666666667
219,omar and shaari,2009,Sizing verification.txt,-0.043478261,0.5,0.454545455,0,0.166666667,0.333333333,0.333333333,0.6,-0.570272343,-1,1,-0.523809524
220,Ibrahim etal,2009,analysis of sola.txt,0.666666667,,-1,-1,-0.042553191,0.83982684,1,0.511111111,-0.760484861,-1,0.954545455,0.754137116
221,walnum,2011,Offdesign.txt,0.761006289,-0.285714286,0.460122699,-0.795918367,-0.24137931,0.72972973,0.833333333,1,0.839650019,-0.333333333,0.921568627,-0.818181818
222,bardineh etal,2018,Medical.txt,0.701492537,,-0.333333333,-1,0.517241379,0.766233766,,1,1.133635407,-1,0.976744186,-0.384615385
223,Vivekh etal,2015,Desalination.txt,0.247058824,1,-0.384615385,-0.636363636,-0.224489796,0,0.333333333,0.052631579,0.0578193,-1,1,-0.111111111
224,Mojtaba,2018,natural.txt,-0.078651685,,0.333333333,-1,-0.058823529,0.963302752,1,-0.285714286,1.886199474,-1,0.982142857,0.133333333
225,Sultan etal,2020,vfa.txt,-0.6,,-1,-1,-0.85,1,,0.75,-0.160764226,-1,0.971830986,-1
226,zhu,2012,Asimulation.txt,0.782178218,,-1,-1,0.620253165,-0.172413793,1,0.744680851,-0.352785296,-1,0.917948718,-0.230769231
227,li etal,2019,Effect of design.txt,0.797235023,,0.333333333,-1,0.170731707,0.657894737,1,1,-0.07008996,-0.942857143,0.93258427,0.03030303
228,hemmingway and long,2012,Thermal re.txt,0.712418301,-0.8125,-0.897435897,-0.85,0.192307692,0.857142857,0.15942029,0.86440678,0.788804356,-0.652173913,-0.285714286,-0.84
229,steve,2011,Hydrogen.txt,-0.2,-1,0.2,-1,0.058823529,0.969230769,-1,0.833333333,-0.148485876,-1,-0.428571429,0.407407407
230,molero,2013,Towards.txt,-0.666666667,-1,1,,-0.733333333,0.927927928,,0.6,1.031582612,-0.25,0.924528302,-0.2
231,Andrea and Francis,2020,tropical climate.txt,0.863874346,-1,-0.454545455,-1,0.3,0.673469388,1,0.2,0.313937013,-0.882352941,0.990825688,-0.555555556
232,Riffat etal,2007,direct ground coupled absorber.txt,0.392857143,,-1,-1,-0.428571429,0.90625,,1,-0.748599338,-1,0.636363636,0.52
233,sahlot and riffat,2016,Desiccant cooling systems.txt,0.744779582,,1,,0.194805195,0.776397516,1,0.545454545,,-0.692307692,0.99245283,-1
234,orhan etal,2011,Exergy analysis of heat exchangers.txt,0.807560137,-1,0.125,-1,,1,1,,0.290877085,,0.987341772,
235,salman,2020,Thermal.txt,-0.650793651,,1,,,1,1,,1.211133341,,0.980582524,
236,ding,2019,Comparison.txt,0.755102041,-1,0.333333333,-1,0.168831169,0.934560327,0.5,0.379310345,0.249255826,-0.714285714,0.925925926,0.392405063
237,hyde,2016,Development.txt,-0.2,0,0.555555556,-0.5,0.044776119,0.906752412,1,0.259259259,0.296875081,-0.481481481,0.978723404,0.847826087
238,ding and riffat,2012,Thermochemical energy storage technologies for building applications.txt,0.736842105,,0.714285714,-1,0.5,0.428571429,1,0.5,-0.500740822,-1,0.8,0.333333333
239,Jorge and Armando C. Oliveira,2006,solar.txt,0.833333333,-1,-0.428571429,-1,-0.25,0.84,0.75,-1,-1.142692818,0.454545455,0.849056604,-1
240,zhangetal,2013,Theoretical.txt,0.825242718,1,0,-0.666666667,-0.252747253,0.632911392,1,0.894736842,0.942040149,-1,0.971014493,-1
241,aleknaviciute,2012,Plasma assis.txt,-0.041666667,-0.076923077,-0.466666667,-0.692307692,0.529411765,0.935483871,1,1,1.307391334,-1,0.858585859,0.76744186
242,xia,2016,Endoreversible.txt,0.222222222,0.5,-0.285714286,-0.5,0.076923077,0.905660377,1,0,,-1,1,-1
243,Barnwal etal,2008,thermal greenhouse dryer.txt,0.613445378,-1,0.5,-1,0.5,0.948387097,1,1,0.569963313,0.777777778,0.981395349,-1
244,meng etal,2010,Effects.txt,0.709677419,0.333333333,-0.333333333,-0.714285714,-0.3125,0.916666667,1,1,-0.453550512,-1,1,0.272727273
245,burhan etal,2018,Energy distribution.txt,0.266666667,,1,,0.432835821,0.176470588,,0.259259259,1.079850324,-1,0.957446809,-0.882352941
246,lee etal,2020,Experimental.txt,0.906040268,-1,-1,-1,0.652173913,0.86407767,-0.954545455,1,-0.465935418,-0.5,1,-0.230769231
247,whiffen,2012,review.txt,0.654320988,-1,0.2,-1,1,0,,1,0.884620841,,0.619047619,-1
248,li and shuan,2020,Research on freq.txt,-0.463414634,0,0.5,0,0.076923077,1,1,0.692307692,-0.407842628,-1,1,0.304347826
249,pillai,2013,Study.txt,0.541666667,-1,0.2,-1,-0.333333333,0.903225806,1,,-0.926219485,-1,0.99376947,0.666666667
250,rabah etal,2013,Experimental study of the urban.txt,0.577981651,,-1,-1,-0.285714286,0.866666667,,-0.5,-0.486145141,-0.75,0.994011976,0.489361702
251,indartono etal,2016,Improving photovoltaics.txt,0.726315789,0.714285714,0.404255319,-0.076923077,0.032258065,0.857142857,1,-1,-0.464443753,-0.5,0.759036145,-1
252,Hessami,2008,rural residential building.txt,0.81420765,-0.333333333,0.333333333,-0.666666667,0.703703704,1,1,-0.333333333,0.923360934,0.333333333,1,-0.142857143
253,elbaiuomy,2017,The impact.txt,-0.452054795,1,0.2,0.555555556,-0.2,0.972899729,1,0.875,-0.597188822,-1,1,0.111111111
254,alkhalidi etal,2020,Using Wood.txt,0.394871795,-0.5,0.2,-0.5,0.25,0.855263158,-1,0.574468085,1.676811288,-1,0.75862069,0.028571429
255,wang etal,2010,intercooled.txt,0.627586207,0.111111111,0.36,-0.230769231,0.346153846,0.842424242,1,0.333333333,-0.203420814,-1,0.684210526,0.463414634
256,wang,2014,Performanc.txt,0.807829181,0.75,0.058823529,-0.066666667,0.307692308,0.84,1,0,1.219249029,-1,0.85,0.25
257,alkhalidi etal,2019,Energy efficient cooling.txt,0.725,0.5,-0.5,-0.5,0.666666667,0.860465116,1,1,0.572979526,-1,0.751937984,-1
258,qiu,2012,Experimental.txt,0.941018767,-1,1,,-0.875,0.988372093,0.333333333,-0.866666667,-0.176642736,-1,0.652173913,-1
259,kasaeian etal,2017,Investigation of the eff.txt,0.406360424,-1,-0.454545455,-1,-0.5,0.915492958,0.428571429,-1,0.623826371,-0.866666667,0.666666667,-1
260,ahmadi,2016,Thermodynamic anal.txt,0.721518987,,0,-1,-0.365079365,-0.09352518,1,0.523809524,-1.172294907,-0.076923077,0.954716981,-0.833333333
261,baral,2020,Mathematical.txt,0.643410853,-1,0.875,-1,0.184210526,0.217391304,0.2,0.888888889,1.611136447,-0.4,0.482352941,-1
262,bert,2011,fuel cells.txt,-0.333333333,-1,0.142857143,-1,-0.62962963,0.678899083,0.714285714,-0.04,-0.516226519,-0.6,1,-0.575757576
263,yang,2012,heat.txt,0.813953488,0,0.882352941,-0.5,-0.5,0.928571429,0.142857143,-1,-0.881921545,-1,0.992753623,-1
264,zhang etal,2012,sordption.txt,0.777777778,,-1,-1,-0.297297297,0.666666667,1,0,-0.347324758,-1,0.93258427,-1
265,wangetal,2019,Fault.txt,0.03030303,-1,-0.6,-1,-0.5,0.752212389,1,0.6,0.664308165,-1,0.882352941,-0.538461538
266,ong,2016,Review.txt,0.884057971,0,0.176470588,-0.75,-0.25,0.921568627,1,0.857142857,-0.021391413,-1,0.958762887,0.1
267,joshi etal,2010,Analysis of energy and exergy.txt,0.711711712,-1,-1,-1,-0.35,0.808823529,1,-0.666666667,0.012301926,-1,-1,-0.538461538
268,serran,2016,Rammed.txt,0.72,,-1,-1,-0.024691358,0.230769231,1,0.4,-2.252831756,-0.384615385,1,-0.627906977
269,riffat and qiu,2011,A review.txt,0.276595745,0,0.24137931,-0.913043478,-0.0625,0.738461538,1,0.5,1.045085575,-0.853658537,0.882352941,-0.578947368
270,Vasiliev etal,2009,efficiency of fuel cells.txt,0.744855967,-1,,,0.333333333,0.846153846,0.5,1,-0.234341889,-1,0.810810811,-1
271,lazzarin etal,2018,Hybrid PCM aluminium foa.txt,0.782312925,-0.333333333,0.8,-0.6,0.295336788,0,1,0.3125,0.346588981,-0.538461538,1,-0.782608696
272,chen etal,2009,Research on ground coupled heat.txt,0.671232877,,-0.967741935,-1,0.043478261,0.986206897,1,0.5,-0.916807689,-1,0.5,0.931034483
273,Tangka etal,2013,asorption solar.txt,0.721854305,-0.963636364,0.285714286,-0.875,0.266666667,0.166666667,1,0.294117647,-0.303615348,-0.733333333,0.789473684,-1
274,Shanmugapriya etal,2018,solar linear fresnel.txt,0.411764706,-1,-0.875,-1,-1,0.666666667,0.333333333,-0.8,-0.727030847,-1,0.850746269,-1
275,you,2020,Influences.txt,0.790575916,-1,-0.545454545,-1,-0.320754717,0.925925926,-1,-0.25,0.130022507,-1,0.975460123,0.752941176
276,ling etal,2013,The numerical s.txt,0.656108597,-1,-0.333333333,-1,0.4,0.862745098,1,0.2,-0.948792684,-1,0.949685535,0.538461538
277,lin etal,2011,Ammonia water absorption cycle.txt,0.712707182,0,0.64,-0.125,0.755102041,0,0.8,1,-0.611040898,-1,0.961165049,-0.5
278,Zhang etal,2015,heat transfer of energy.txt,0.835390947,,1,,0.125,-0.076923077,,0.571428571,-0.081419917,-1,0.903225806,-1
279,jarimi etal,2018,Materials characterizatio.txt,1,-1,-0.5,-1,0.180327869,0.688311688,-0.5,0,-0.717512353,-0.5,0.914634146,-0.454545455
280,Arif etal,2012,exergy analysis.txt,0.527272727,-1,1,,0.111111111,0.567567568,-1,0.142857143,-0.08463163,0.428571429,0.858823529,-1
281,mahmood etal,2019,Energy.txt,0.837696335,-1,0.75,-1,0.294117647,0.773584906,0.6,0.333333333,0.626050686,,0.945355191,0.090909091
282,Lazzarin etal,2008,electronic expansion valves.txt,0.68,1,0.666666667,0.333333333,0.034482759,0.851851852,1,-0.379310345,-0.33246398,-0.6,0.995049505,-0.375
283,jorge,2009,water absorption.txt,0.763033175,-1,1,,0.473684211,0.58974359,1,0.677419355,0.911024972,0.6,0.933333333,-0.393939394
284,dakwale and ralegaonkar,2011,Review of carbon emission through buildings.txt,0.155172414,-1,-0.625,-1,-0.020408163,0.333333333,-0.75,0.647058824,0.193473497,-1,0.625,-0.157894737
285,sicre,2015,Highefficiency.txt,0.748502994,,0,-1,-0.259259259,0.882352941,1,0.5,-1.280384133,-0.6,1,0.176470588
286,anestopoulou etal,2016,On the development.txt,0.319148936,-1,-0.714285714,-1,0.8,0.826086957,0.5,0.636363636,-0.188188116,-0.5,0.895833333,-1
287,kumar and reddy,2012,energy exe.txt,0.188679245,-1,-0.5,-1,-0.428571429,0.707692308,0.333333333,0.428571429,-0.734996758,-0.263157895,1,-0.777777778
288,Kan and Hu,2015,composite building.txt,0.744680851,,-1,-1,-0.318181818,0.78807947,1,0.384615385,-1.167187035,-1,0.833333333,-0.692307692
289,Comarazamy etal,2013,impacts of urb.txt,0.420118343,-1,-0.632653061,-1,0.2,0.795121951,1,0.151515152,0.340372489,-0.733333333,0.961904762,0.183098592
290,tolooiyan,2012,preliminary.txt,0.617128463,,-1,-1,0.066666667,0.956043956,1,-0.142857143,-0.517992296,-1,1,-0.5
291,kan etal,2009,Ecological.txt,0.833333333,-1,0.25,-1,-0.2,0.921568627,0.111111111,0.75,-0.964201202,-0.714285714,1,-0.333333333
292,feng etal,2013,Constructal.txt,0.671641791,,-1,-1,0.090909091,0.893939394,,0.5,-0.267087906,-0.222222222,0.94095941,0.789473684
293,Jiang etal,2009,utilizing bent heat pipes.txt,0.829268293,0,0.384615385,-0.6,-0.866666667,0.895348837,1,0,-1.569922355,-0.714285714,0.918918919,0.025641026
294,rahbar,2016,miniature.txt,-0.164556962,0.5,-0.619047619,-0.7,-0.176470588,0.962025316,1,0.111111111,-0.853315805,-0.818181818,0.959459459,0.419354839
295,oyieke,2020,Experimental.txt,0.72038835,-1,0.867647059,-1,0.136363636,0.811023622,1,0.222222222,-1.034956799,-0.066666667,0.888198758,-1
296,li and liang,2018,The economi.txt,-0.4,1,-0.666666667,-0.818181818,0.351351351,0.806451613,1,0.8,0.753346951,-1,0.333333333,-0.777777778
297,chen etal,2012,Optimal expansion.txt,0.717277487,,1,,0.133333333,0.928571429,1,0.714285714,-0.850248418,-0.428571429,0.666666667,0.772151899
298,d'alessandro etal,2016,Innovative concretes for low carbon constructions.txt,-0.06626506,-0.272727273,0.450980392,-0.555555556,0.571428571,0.945945946,-0.333333333,0.666666667,-0.08585433,,0.949308756,0.843137255
299,wang etal,2020,equalization.txt,-1,,-0.25,-1,0.25,0.916167665,0,1,-1.08539964,-1,0.914893617,0.5
300,reinoso,2012,Study.txt,-0.245901639,,0.2,-1,0.777777778,0.466666667,1,1,0.841063893,-0.578947368,0.893939394,-0.333333333
301,gan,2015,Impacts of dynam.txt,0.869797225,-1,-1,-1,0.634146341,0,1,0.941176471,,-1,0.333333333,-0.111111111
302,Aprea etal,2012,exergy an.txt,0.333333333,1,-0.333333333,0.2,0.03030303,-0.4,,0.785714286,0.636514654,,0.84,-0.6
