,author,year,title,climate-damage,weather-damage,climate-change,weather-change,mitigation-damage,climate-threat,adaptation-threat,adaptation-conflict,vader_zscore,big-small-ratio,climate-conflict,bio-loss
303,afonso,2013,Tracer gas.txt,0.648,1,-0.6,-0.6,-0.076923077,0.972222222,0.666666667,0.555555556,-0.426410099,-0.894736842,0.076923077,0.685714286
304,wangetal,2020,Research.txt,0.8,-1,-1,-1,0.846666667,-0.03030303,-1,0.824561404,-0.101686255,-0.882352941,0.923076923,-0.625
305,qiu,2018,Numerical.txt,0.480851064,-1,-1,-1,0.622641509,0.884615385,1,1,0.997332491,1,0,-0.25
306,lim etal,2013,Design config.txt,0.552238806,-1,-0.230769231,-1,0.052631579,0.96460177,0.862068966,0.818181818,0.469012232,-1,0.695652174,-0.285714286
307,Reddy etal,2016,Nanofluid and nanocomposite.txt,0.461333333,-1,0.36,-1,0.071428571,0.949367089,0.636363636,0.111111111,1.435995963,-0.75,0.446808511,0.846153846
308,hegazy and qurnfulah,2020,Thermal comfo.txt,0.400544959,0.333333333,-0.5,-0.2,0.647058824,0.945945946,0.333333333,-1,0.552157912,-1,0.981481481,-0.666666667
309,lazzarin and noro,2016,Energy efficiency.txt,0.422535211,,0.411764706,-1,0.818181818,0.956521739,,1,0.029371952,-1,0.846153846,-1
310,harper etal,2019,Assessing socially.txt,0.344827586,1,-0.058823529,-0.8,-0.333333333,0.949748744,0.777777778,1,-0.549672003,-1,0.666666667,-0.625
311,amhadi and assaf,2019,Assessment.txt,-0.04109589,,-1,-1,-0.538461538,0.845360825,1,1,-1.760667061,-0.666666667,0.949367089,-1
312,moustafa etal,2018,Roof geometry.txt,0.733333333,-1,0.384615385,-1,0.464285714,0.058823529,1,0.75,1.711458911,-1,0.941176471,-0.2
313,Harrison and Jiang,2017,energy performance.txt,0.293333333,-0.411764706,-0.290322581,-0.6,0.333333333,0.93006993,-0.3,0.929824561,2.267020452,-1,0.876923077,-0.25
314,Vivek,2008,energy and exergy.txt,0.811320755,-0.333333333,0.578947368,-0.6,0.545454545,0.905882353,0,0.909090909,-0.670164863,-0.4,0.985611511,0.636363636
315,hu etal,2016,Removal of carbon dioxi.txt,0.620689655,-1,-1,-1,0.75862069,0.647058824,,0.8,1.436134162,0.2,1,-0.555555556
316,hegazy etal,2017,The living building.txt,0.313432836,,-0.878787879,-1,0.262135922,0.542168675,1,0.909090909,0.745619638,-0.230769231,0.797101449,-0.384615385
317,varga,2013,Readdressing.txt,0.549450549,-1,0,-1,-0.111111111,0.9,1,0,-0.202432534,-0.6,0.82278481,-0.8
318,pike and slater,2011,examination of their.txt,0.411764706,-1,0,-1,-0.111111111,0.976878613,1,0.333333333,-0.825726374,-0.625,0.789473684,-0.102040816
319,Newton etal,2011,nanoparticle.txt,-0.714285714,-1,0.764705882,-1,0.071428571,-0.181818182,1,0.384615385,1.450484224,-1,0.961165049,-0.5
320,Zhang etal,2017,liquid dessicant cycle.txt,0.935483871,0.5,-0.25,-0.25,-0.266666667,0.825242718,,0.454545455,1.378976286,-0.666666667,0.936305732,-0.866666667
321,jan etal,2013,climate necessity.txt,0.133333333,-0.333333333,-0.272727273,-0.866666667,-0.463414634,0.765853659,1,0.866666667,0.042836348,-0.333333333,0.789473684,-1
322,poese,2013,Performance.txt,0.223021583,-0.333333333,-0.75,-0.75,-0.652173913,0.985714286,0,0.142857143,-1.643855999,-0.5,0.870967742,-0.940298507
323,Vakilabadi etal,2018,renewable power gen.txt,0.606217617,0,0.066666667,-0.4,0.903846154,0.333333333,1,1,-0.058386833,-1,0.897959184,-1
324,zhou,2018,Optimization analyses.txt,0.615384615,0,-0.454545455,-0.454545455,-0.588235294,0.814814815,1,0.294117647,-0.796728446,-1,0.8,-0.2
325,Vasiliev etal,2008,activated carbon.txt,0.798319328,,,,0.166666667,0.925,,0,-0.179992035,-1,0.932432432,0.333333333
326,Spencer,2007,predicting light pipe transmittance.txt,0.153846154,-1,-0.76,-1,0.263157895,0.89010989,0.5,-0.2,-1.032705273,-1,0.99137931,0.529411765
327,tu,2020,Comparative.txt,0.479338843,-0.5,0.733333333,-0.6,-0.396226415,0.780104712,1,0.333333333,-0.445824914,-0.813953488,0.987012987,-1
328,chu etal,2020,Effects of stripper.txt,0.222222222,0.5,1,1,0.75,0.24137931,1,0.8,,-0.5,0.975708502,-0.4
329,li etal,2010,hybrid solar electricity system.txt,0.856115108,1,0.555555556,-0.333333333,-0.5,0.971830986,0,-1,1.453018209,,0.980487805,-1
330,yang,2012,Performance.txt,0.759493671,-1,-1,-1,-0.666666667,1,1,,1.515548529,,,-1
331,almutairi etal,2011,Cycling durability studies.txt,-0.025,-1,-0.75,-1,-0.448275862,0.948424069,-1,0.6,-0.606369515,-1,0.885714286,0.377777778
332,Zhao etal,2008,power and gas cogeneration.txt,0.866666667,,-0.636363636,-1,0.386666667,-0.52,0,0.642857143,0.961314405,0,0.921568627,-0.176470588
333,oliveira,2017,GHG.txt,0.615384615,1,0.736842105,0,0.130434783,0.304347826,0.777777778,1,0.251787487,-1,0.961904762,-0.777777778
334,baitule and sudhakar,2017,Solar powered green campus.txt,-0.578947368,0,0.365853659,-0.368421053,0.272727273,0.98816568,0.5,-0.2,-1.314152793,-0.777777778,0.962025316,0.2
335,zhu,2020,The influence.txt,-0.632653061,,0.25,-1,0.2,0.555555556,1,0.333333333,-0.798079597,-1,0.988919668,-0.333333333
336,dien etal,2011,Biochemical processing of reed canarygrass into fuel ethanol.txt,0.127272727,,-0.428571429,-1,0.444444444,0.888888889,1,1,-0.612802787,-0.75,0.841269841,-0.25
337,ahmadi,2020,Portfolio optimization.txt,-0.653061224,1,0.272727273,-0.6,-0.5,-0.428571429,0,0.6,1.225830788,-1,0.989010989,-1
338,chien,2014,Assessment.txt,0.192307692,1,-0.529411765,-0.857142857,-0.047619048,0.714285714,1,0.230769231,-0.503760648,-1,0.272727273,-1
339,jarimi etal,2018,Materials characterization.txt,1,0,-0.333333333,-0.777777778,-0.35483871,0.3,1,0.5,0.481439648,-1,0.909090909,-0.47826087
340,coskun etal,2009,Energy and exergy.txt,0.79245283,,0.6,-1,0.096774194,0.28,1,-0.142857143,-1.017811479,-0.833333333,0.924242424,-0.923076923
341,Chamchine etal,2013,integrated assesment.txt,-0.076923077,1,0.333333333,0,0.172413793,0.94375,1,1,-1.12409756,-1,0.866666667,0.794871795
342,ashley,2016,direct absorbing.txt,0.484848485,1,1,1,-0.228070175,0.847826087,0.8,0.771428571,1.418765835,-0.75,0.953125,-0.696969697
343,ramezanizadeh,2019,Modeling.txt,0.581395349,-1,-0.333333333,-1,-0.492537313,0.856060606,0.2,-0.571428571,0.211915152,-1,0.818181818,-1
344,xie etal,2008,Syngas CO.txt,0.652173913,-1,1,,-0.130434783,0.888888889,,-0.5,-0.171747679,-1,0.915492958,-1
345,kepekci etal,2020, Three dimension.txt,0.801980198,-0.066666667,-0.24137931,-0.44,0.245614035,0.276595745,1,0.333333333,-0.169403602,0.538461538,0.979166667,-0.878787879
346,xiaetal,2010,Ecological.txt,0.584615385,,-0.5,-1,0.2,0.928571429,0.6,0.666666667,-0.700161101,-0.846153846,0.189189189,0
347,zhangetal,2017,Annual.txt,0.58125,,0,-1,0.382352941,0.128205128,-1,0.692307692,1.77745516,-0.6,0.947019868,0
348,wu etal,2011,Prediction.txt,0.733333333,,-0.692307692,-1,-0.226666667,0.788235294,1,0.1,-0.232982118,-0.714285714,0.333333333,-0.333333333
349,Igunnu etal,2012,Produced wate.txt,0.618867925,-1,-0.333333333,-1,0.409090909,0.945945946,-1,0.818181818,0.964150265,-1,0,0.368421053
350,chong,2013,Comparing.txt,0.683673469,,0.866666667,-1,-0.272727273,0.714285714,,1,-1.395990226,-1,0.986486486,-0.333333333
351,oliveira,2016,Anovel.txt,0.776223776,,-1,-1,-0.302325581,0.746268657,1,0.894736842,-0.558496667,-1,0.974025974,0
352,ismail,2012,energy eff.txt,0.712643678,0.8,0.083333333,-0.1,-0.1875,0.742574257,1,-0.230769231,0.49241596,-0.6,0.76119403,-0.6
353,worall,2011,CO2compression.txt,0.648648649,0,0.428571429,-0.333333333,0.01754386,0.45,1,0.62962963,0.104478368,-1,0.913043478,-0.125
354,Rosemann and Kaase,2013,combined daylight.txt,0.333333333,0.666666667,0.6,0.428571429,0.5,-1,,0.818181818,0.548695456,-0.5,0.536842105,0.454545455
355,stafell,2011,Lower.txt,-0.861111111,,0.757575758,-1,0.170454545,-0.166666667,0.777777778,0.47826087,,-1,1,-0.725490196
356,renato etal,2009,Energetic.txt,0.777070064,-1,-1,-1,-0.142857143,0.88,0,-0.555555556,1.063077339,-0.7,0.970479705,-1
357,kesten etal,2010,daylight performance.txt,0.21875,-0.777777778,0.310344828,-0.666666667,0.142857143,0.37254902,-0.4,0.72972973,0.70553279,0,0.959183673,-0.259259259
358,xiao etal,2010,retrofitted direct gain solar house.txt,0.800995025,-1,-1,-1,-0.066666667,0.714285714,0,0.555555556,2.029392593,-1,1,-0.666666667
359,Yang etal,2013,ecobuilding.txt,0.740740741,,0.16,-1,-0.071428571,0.46835443,0.777777778,-0.066666667,1.849894137,-1,0.921568627,-0.714285714
360,agrawal,2011,Flow characteristics.txt,0.157894737,,-0.333333333,-1,-0.523809524,-0.4,,-1,0.320505782,,-0.6,-0.428571429
361,colombo,2012,Carbon dioxide refrigeration with heat.txt,0.813953488,-1,0,-1,-0.333333333,0.962025316,1,-0.2,-1.306725057,-1,0.862068966,0.272727273
362,ascione etal,2016,Design.txt,0.447470817,-1,0,-1,-0.142857143,0.771428571,-1,0,0.536467452,-0.80952381,0.9,0.36
363,chen etal,2012,Internal.txt,0.568181818,-0.857142857,0.652173913,-0.6,-0.051546392,0.494949495,-0.5,0.555555556,-0.772728625,-1,0.836734694,-0.625
364,maleki,2018,Modeling and optimum design.txt,0.2,,,,-0.142857143,0.568627451,,0.6,-0.423043309,-0.2,0.983050847,0.333333333
365,Renato Lazzarin,2007,Technological innovations.txt,0.831223629,0,-0.4,-0.75,0.2,0.666666667,-0.111111111,-0.333333333,,-1,0.986394558,-1
366,onyelowe,2019,Experimental.txt,-0.741573034,-1,-0.4,-1,0.448275862,0.230769231,-1,0.142857143,,-1,0.833333333,-0.571428571
367,shatat,2016,innovativepsychometric.txt,0.866359447,,,,0.2,0.921259843,1,0.25,1.623971934,-0.333333333,0.911111111,-0.818181818
368,mumith,2016,Design.txt,0.327868852,1,0.833333333,0,0.675675676,0.70212766,-1,0.886792453,1.272679721,-1,0.846153846,0.56097561
369,srinivas,2020,anal.txt,-0.135135135,-1,0.166666667,-1,-0.75,0.375,1,0,-0.325392773,-1,1,-1
370,alexander,2013,solid sorption.txt,0.843575419,0.333333333,0.503546099,-0.707317073,-0.411764706,0.975409836,1,-0.230769231,-0.93678857,-0.333333333,-0.111111111,0.538461538
371,kosa,2020,Dynamic and steady.txt,0.432835821,,-0.333333333,-1,-0.44,0.968911917,1,0,-0.720680005,-0.6,0.95505618,0.454545455
372,aldali,2011,Solar absorber tube analysis.txt,0.67032967,-0.818181818,-0.375,-0.913043478,-0.538461538,0.946428571,0.2,-1,-0.869340171,-1,1,0.541666667
373,Reddy,2009,low carbon buildings.txt,0.022222222,-1,-0.111111111,-1,-0.135135135,0.971346705,0.5,0.927272727,0.342890501,-0.777777778,0.970588235,-0.259259259
374,agrawal,2012,Study.txt,-0.021276596,-0.818181818,-0.828571429,-0.939393939,0.333333333,0.936305732,0.647058824,0,0.830371902,-1,0.954022989,0.454545455
375,TiezhouWu etal,2020,coordinated control.txt,-0.285714286,,-1,-1,0.125,-0.417721519,1,-0.130434783,-1.608084804,-1,0.991266376,-0.898989899
376,eicker,2012,Large scal.txt,0.383333333,,-1,-1,0.293103448,0.121212121,,0.529411765,-1.203905567,-1,0.944954128,-0.647058824
377,Zhang etal,2018,revolutio.txt,0.376623377,1,0.090909091,-0.666666667,0.28125,0.263157895,1,0.333333333,0.096862093,-0.714285714,1,-0.833333333
378,li etal,2016,Thermal analysis.txt,0.87654321,-1,-0.285714286,-1,0.379310345,0.87037037,1,-0.047619048,0.646969877,-1,1,0.238095238
379,zeinelabdein,2018,Free.txt,0.894988067,-0.2,0.463414634,-0.692307692,-0.533333333,0.967741935,1,0.666666667,-0.862315331,-0.75,0.994520548,0
380,jarimi etal,2020,Review of sustainable method.txt,0.7696793,-1,-0.6,-1,-0.2,0.96969697,0.5,1,-0.441842419,0,1,-0.282051282
381,shamsapour,2020,Developing.txt,-0.129770992,-0.5,0.333333333,0,0.086956522,0.775862069,-0.333333333,-0.111111111,-1.186803371,-0.5,0.978723404,-0.916666667
382,Du etal,2017,impact of blades wrap energy.txt,-0.090909091,-1,-0.142857143,-1,0.272727273,1,-0.925925926,0.894736842,0.18654907,-1,0.6,0.333333333
383,li etal,2016,feasible energy saving analysis.txt,0.515151515,-1,0.666666667,-1,0.419354839,0.944700461,1,0.764705882,-0.100251809,-0.333333333,0.92,-0.407407407
384,wuxiong,2014,Passive.txt,0.81981982,,-1,-1,0.212121212,0.918976546,,0.72972973,-0.281246183,-1,0.628318584,0.261538462
385,yang,2020,policy.txt,-0.782945736,0,0,-0.666666667,0.130434783,0.393939394,1,0.666666667,-0.056063769,-1,0.950310559,-0.695652174
386,angrisani etal,2013,the influence of cooling air.txt,0.838006231,-1,-0.333333333,-1,-0.5625,0.781818182,1,1,-0.863166973,-0.777777778,0.803773585,-0.172413793
387,fang etal,2017,Experimental.txt,0.849315068,0.2,0.586206897,-0.333333333,-0.055555556,0.905882353,1,0.285714286,1.176142235,-0.714285714,1,-0.666666667
388,annadurai etal,2018,Experimental.txt,0.873278237,,0.388888889,-1,-0.333333333,0.967213115,1,0,-0.196834507,,1,-1
389,iwaro etal,2015,Validation of integrate.txt,0.709876543,-1,0.142857143,-1,-0.04587156,0.872340426,0.6,0.5,-1.089180445,-1,0.955555556,-0.904761905
390,ratlamwala,2012,Comparative.txt,0.169811321,-0.555555556,0.435897436,-0.466666667,-0.04587156,0.872340426,0,0.5,-1.089180445,-1,0.991354467,-0.904761905
391,kizilors and aydin,2020,Effect of therm.txt,0.787951807,,-1,-1,-0.272727273,0.538461538,1,0.6,-0.275932345,-1,0.951417004,-0.714285714
392,spataru,2010,Domestic energy and occupancy.txt,0.411764706,-1,-0.387755102,-1,-0.068965517,0.79020979,1,0.304347826,0.017615301,0,0.988439306,0.558441558
393,gao etal,2010,concentrating PV modules.txt,0.700934579,-1,-0.166666667,-1,-0.244444444,0.816216216,1,0.581395349,0.547234803,-1,0.983333333,-0.294117647
394,yu,2018,Theeconomic.txt,-0.083333333,0,-0.066666667,-0.6,-0.622641509,0.866666667,0.777777778,0.111111111,-1.280235616,-1,0.771428571,-1
395,patodi,2012,Performance.txt,0.733333333,0.2,1,1,0.583333333,0.642857143,1,0.666666667,1.139006357,-0.333333333,0.952755906,0.846153846
396,Daniel C. Staley,2013,urban forests and solar power.txt,0.12987013,0.333333333,0.461538462,-0.076923077,0.5,0.142857143,1,1,-0.850846277,-1,1,-0.636363636
397,gUPTA,2009,Moving towards.txt,0.2,,-1,-1,-0.333333333,0.886792453,1,-0.076923077,-1.129955196,-0.8,0.973684211,0.413793103
398,Christian etal,2009,predictingdomestic.txt,0.630057803,,,,-0.076923077,0.808219178,,1,-0.188294095,-0.944444444,0.952,0.36
399,feng etal,2010,Heating.txt,0.775100402,1,1,1,-0.125,0.96107056,0,0.714285714,-0.994259131,-0.666666667,0.740740741,0.317073171
400,Someren etal,2017,lighting performance.txt,0.654320988,-1,0,-1,-0.56097561,0.746192893,0.818181818,0.75,-1.319513553,-0.28,0.971830986,0.125
401,malakhov,2010,Economic.txt,-0.416666667,0.96460177,0.966101695,0.96460177,-0.435294118,0.784037559,1,0.5,-0.523234901,-0.739130435,0.993846154,-0.636363636
402,alsallal,2010,Daylighting and visual performance.txt,0.219178082,-1,0.428571429,-1,-0.56097561,0.52238806,,0.222222222,-0.773714966,-1,0.964912281,-1
403,sampedro etal,2016,Spanish.txt,-0.487179487,0.5,-1,0.5,0.36,0.927536232,,0.6,-0.528679391,-0.333333333,0.958762887,-0.444444444
404,zhang,2012,Enhanced Hea.txt,0.52,0,0.166666667,-0.818181818,0.073170732,0.887788779,0.846153846,0.466666667,0.039300953,-1,0.971830986,-0.777777778
405,varga,2017,Ontheselection.txt,0.045454545,-0.333333333,-0.5,-0.714285714,0.407407407,0.806451613,,0.333333333,-0.653074103,-0.6,0.92,0
406,rogers,2011,Hydrogen.txt,-0.2,-1,0.142857143,-1,-0.096153846,0.763779528,0.619047619,0.166666667,1.0853559,,0.81512605,0.323529412
407,gong etal,2012,Emissions.txt,0.395121951,-1,-0.111111111,-1,-0.046357616,0.745454545,1,0.6,1.437070047,-1,0.428571429,0.112582781
408,alyousef and varnham,2010,Saudi Arabia.txt,0,0,0.384615385,-0.6,0.130434783,0.924050633,1,0.466666667,-0.561552221,-0.833333333,0.964444444,-0.333333333
409,enayatizade,2019,Techno econom.txt,0.687732342,,0.6,-1,0.095238095,0.875968992,0.9,0.294117647,-0.694786203,-1,0.714285714,-0.333333333
410,ahmad,2016,Investigation of the ef.txt,0.760598504,-1,-0.6,-1,0.208333333,0.511111111,0.333333333,-0.142857143,2.253189274,-1,0.803571429,-0.636363636
411,Cooke etal,2013,biomass energy crop feasibility.txt,0.222222222,-1,1,,-0.882352941,0.868544601,0.8,-0.555555556,-1.492664172,-0.75,0.986577181,-1
412,sunetal,2019,Study.txt,0.443037975,1,-0.272727273,-0.75,-0.28,0.918367347,-1,0.666666667,1.171718173,1,0.866666667,-0.692307692
413,chen etal,2010,An experimentaL.txt,0.914191419,-1,-0.230769231,-1,0.209302326,0.942675159,1,0.826086957,0.433233742,-1,0.771428571,-0.333333333
414,whiffen,2012,Areview.txt,0.743589744,-1,-0.6,-1,0.418719212,0.653710247,1,0,0.352970668,-1,0.887096774,0.037037037
415,chen and li,2020,A state of art meth.txt,0.117021277,-0.833333333,0.095238095,-0.9,0.297297297,0.454545455,1,0.857142857,0.895104034,-1,0.945945946,-0.5
416,wajid,2019,Review.txt,0.922651934,-1,0.384615385,-1,-0.625,0.848101266,0.882352941,0,1.32547073,0.230769231,0.818181818,0.45
417,maciel etal,2013,The impact.txt,0.591397849,,-1,-1,-0.523809524,-0.11627907,1,0.333333333,-0.821198384,-1,0.984496124,-0.222222222
418,zhangetal,2020,Discrete.txt,0.777777778,,0,-1,-0.565217391,0.873684211,1,0.25,1.259516826,-0.789473684,1,0.24137931
419,zhou,2009,thermocapillary.txt,-0.254237288,-1,-0.833333333,-1,0.670103093,0.72,0.894736842,0.733333333,-0.547514367,-0.714285714,0.985294118,-0.333333333
420,Cuimin etal,2020,energy conservation.txt,0.895953757,0.25,0.333333333,0.428571429,0.2,0.924528302,0,0.416666667,-0.633814005,-0.6,0.981132075,0.485714286
421,wang and chi,2011,A laboratory.txt,0.814634146,,1,,0.666666667,1,,0.666666667,0.230040321,-1,0.396226415,0.870967742
422,Ibrahim Rizk Hegazy,2020,nano aerogel glazing.txt,0.308641975,-1,0.25,-1,0.473684211,0.657142857,-1,0.2,0.105518204,-1,0.466666667,-0.142857143
423,rogers,2012,Yawanalysis.txt,0.555555556,,,,0,0.773584906,1,0.5,1.074354633,-0.777777778,1,-0.777777778
424,abdul,2012,Mod.txt,0.466666667,1,-0.8,-0.8,0.675675676,0.8125,1,0.5,-0.773600556,0,0.5,-0.4
425,Yang and Yutong,2007,photovoltaic application.txt,-0.538461538,-1,-0.5,-1,-0.238095238,0.902439024,1,0.75,-1.074976703,-1,0.933333333,-0.272727273
426,mojahedi etal,2020,Designing p.txt,0.630252101,-1,-0.428571429,-1,0.538461538,1,1,0.857142857,-0.212257876,-0.333333333,0.932926829,0.739130435
427,Ma etal,2008,microencapsulated phase.txt,0.854545455,-0.6,-1,-0.888888889,-0.172413793,0.94092827,1,0.714285714,-0.993268129,-1,0.925,0.30952381
428,raj,2020,Design.txt,0.75308642,1,0.612903226,-0.714285714,0.142857143,0.911538462,1,0.575757576,1.644897483,-0.6,0.983050847,0.333333333
429,kim,2013,the investigation of an openi.txt,0.047619048,-1,0.043478261,-1,-0.034482759,0.871681416,-0.333333333,0.476190476,0.168126982,-1,0.944954128,0.071428571
430,pandey etal,2011,Experimental.txt,0.662162162,0.2,0,-0.2,-0.025641026,0.909547739,-0.285714286,0.851851852,0.407647158,-1,0.979166667,-0.84
431,aldali,2011,energetic.txt,0.693617021,-1,-0.684210526,-1,0.052631579,0.493670886,1,0.555555556,-0.26489014,-0.777777778,0.98245614,-0.6
432,ong,2014,Reverseflow.txt,0.808695652,,-0.6,-1,0.636363636,0,0.333333333,1,2.415030294,1,0.75,-0.333333333
433,Renato etal,2013,life cy.txt,0.264705882,0.4,0.565217391,0.166666667,-0.481481481,0.902439024,0,-0.272727273,-0.483176392,-1,0.983333333,-1
434,yadav etal,2020,Sustainable.txt,-0.022727273,-1,0.333333333,-1,0.272727273,0.705882353,-1,0.6,0.041639388,0.052631579,0.974358974,-1
435,valdiserri,2018,Evaluation.txt,0.666666667,-0.333333333,0,0,0.111111111,0.777777778,0.428571429,0.5,-0.9094798,-1,0.982142857,-1
436,lee etal,2020,Performance estimation.txt,0.785234899,0,0.6,-0.6,0.111111111,0.72972973,1,0.384615385,0.148825969,,0.871794872,0.411764706
437,Busato etal,2008,cogeneration modules.txt,0.72826087,-1,-0.055555556,-1,-0.2,0.6,1,-1,-0.606290581,-0.846153846,0.887096774,-1
438,ramadan etal,2016,Analysis.txt,0.753164557,0,0.333333333,-0.777777778,-0.438596491,0.489795918,1,0.310344828,-0.430139945,-1,0.692307692,0.166666667
439,Chun etal,2008,novel thermodiode designs.txt,0.75147929,-1,-1,-1,0.125,0.710144928,1,0.5,-0.054857244,-1,0.907407407,-0.764705882
440,agyeni,2012,Experimenta.txt,0.94047619,-1,0.333333333,-1,-0.081081081,0.893617021,1,0.529411765,0.391806931,-1,0.903225806,-0.098591549
441,shao,2019,Geological.txt,0.131782946,-1,0,-1,-0.649122807,0.921259843,1,0.333333333,-1.257843855,-1,0.93877551,-0.911111111
442,Riffat etal,2013,thermodynamical cooling sys.txt,0.858823529,,-1,-1,-0.340425532,-0.102040816,1,-0.272727273,-0.83506169,-0.555555556,1,-0.939393939
443,Davies etal,2013,seawater.txt,0.658914729,-1,-1,-1,0.297297297,-0.4,,0.111111111,-0.106737496,-1,0.928571429,-0.8
444,buyagbie etal,2012,Conceptual design.txt,0.762376238,-1,-0.428571429,-1,0.361702128,0.657142857,0.866666667,0.066666667,1.264764301,-0.666666667,0.932038835,-1
445,john raftery,2009,Sustainable.txt,0,,-0.230769231,-1,-0.181818182,0.563218391,,0.4,1.212517984,-0.5,0.844827586,-0.684210526
446,huang etal,2011,Design analysis of a F.txt,-0.4375,-1,0.142857143,-1,-0.407407407,0.56043956,1,0.4,0.365283941,-1,0.962655602,-0.878787879
447,wangetal,2014,Feasibility.txt,0.597222222,-0.833333333,-0.625,-0.857142857,0.135135135,0.897435897,-0.6,0.2,-1.174991321,-1,0.891891892,0.52173913
448,li etal,2019,low power data.txt,0.04,1,0.272727273,-0.6,0,0.775,1,0,-0.346390441,-1,0.647058824,-0.428571429
449,Chandiwala,2009,Sustainable Homes in the UK.txt,0.157894737,0.5,-0.2,0,-0.432432432,0.76744186,1,0.5,0.652766352,-1,0.97979798,-0.824561404
450,Utlu and Onal,2017,waste heat recovery.txt,0.796407186,-0.75,0.230769231,-0.666666667,0.407407407,0.182795699,0.846153846,0.62962963,2.30595312,-0.9,1,-1
451,Budania etal,2013,solar absorption.txt,0.725752508,0.333333333,0.15,-0.789473684,-0.411764706,0.555555556,,0.714285714,-0.28569184,-1,1,-0.6
452,JENKINS,2009,cooling loads.txt,0.566502463,,-1,-1,0.67032967,0.857142857,1,0.777777778,0.079674192,-0.6,0.956043956,0.567567568
453,rao,2013,Analysis.txt,0.678321678,-0.428571429,0.333333333,0,-0.882352941,0.902097902,0.6,-0.333333333,-1.548976741,-1,0.291666667,-0.914893617
454,Lalzad,2013,desalination plant.txt,0.698324022,-0.333333333,0.142857143,-0.714285714,-0.127272727,-0.578947368,0.777777778,0.878787879,1.370490094,-1,0.97037037,-0.866666667
